raymond_cp,cipla_cp,fortis_cp,jet_cp,titan_cp
1047.3,606.05,158.1,816.9,851.7
1057.45,608.5,161.95,831.95,858.15
1051.2,611.5,160.45,841.75,852.45
1045.8,607.8,157.4,831.4,845.15
1055.9,606.8,154.75,870.6,856.3
1097.3,616.75,163.25,865.2,892.9
1109.5,615.15,164.05,870.55,909.7
1088.7,615.05,163.3,866.05,926.1
1127.45,615.6,163.5,837.6,932.95
1114.0,619.75,165.6,843.5,917.6
1113.9,612.35,162.45,838.7,918.0
1124.5,612.1,148.9,827.25,906.9
1128.9,610.25,144.65,821.0,903.8
1092.85,601.4,146.25,790.35,918.25
1108.9,607.15,140.3,821.3,889.4
1062.0,603.65,144.05,791.25,893.1
1081.9,602.75,144.1,793.2,885.85
1102.45,601.15,145.45,783.4,891.45
1123.8,622.35,147.2,795.7,909.75
1124.35,618.3,150.5,774.35,905.7
1074.75,621.4,153.85,765.8,886.9
1109.55,615.0,157.3,749.25,884.1
1078.95,605.95,147.5,762.4,896.2
1049.7,592.15,146.9,753.65,884.15
1017.7,587.05,139.05,769.15,869.55
933.3,581.15,132.6,685.6,831.0
931.9,580.1,126.45,690.8,822.2
885.9,564.25,118.45,709.95,802.3
919.15,569.25,114.2,747.0,782.65
966.25,612.65,123.75,776.55,783.65
966.15,621.4,126.05,791.7,800.75
979.1,621.65,148.6,823.4,796.8
974.35,616.15,139.0,803.25,809.05
962.65,605.85,142.45,756.2,813.7
929.95,611.1,143.4,739.95,814.85
940.0,600.4,137.5,762.7,803.2
955.2,603.45,146.4,751.75,803.95
943.9,597.25,153.6,745.9,832.25
922.0,589.65,155.5,733.9,822.9
950.95,595.65,146.3,745.45,817.5
957.65,590.1,159.95,766.25,814.2
946.6,586.5,159.9,742.7,819.7
954.45,589.65,155.6,746.1,822.6
936.9,581.7,159.8,742.8,816.15
920.3,579.25,161.05,739.9,810.2
909.25,584.1,163.3,720.4,808.9
891.7,580.2,161.35,708.0,807.65
906.55,578.0,147.55,693.65,814.85
901.75,571.05,148.15,688.35,817.7
923.45,580.65,145.4,689.0,819.1
926.4,578.75,149.3,699.3,829.1
944.7,577.9,152.55,714.0,851.95
942.1,571.15,158.8,721.9,865.0
926.15,559.4,160.25,703.8,872.5
904.65,559.75,155.9,673.35,879.25
913.8,552.9,153.5,669.25,869.0
933.4,551.05,156.65,668.35,871.75
928.0,540.75,155.95,641.9,872.25
891.65,538.4,154.6,620.05,887.55
920.35,541.8,143.5,616.4,895.05
920.4,545.05,147.65,637.7,939.05
897.75,545.45,142.25,608.75,942.4
926.05,576.25,123.35,601.25,942.3
930.25,570.3,128.15,612.95,944.1
934.7,569.8,129.95,603.95,931.95
962.0,560.35,128.5,625.3,904.35
990.85,558.95,137.85,621.05,920.05
1035.8,556.75,138.8,630.15,940.3
1037.35,558.15,141.8,619.1,960.65
1042.65,561.5,146.6,617.75,962.25
1050.45,556.15,147.85,625.55,979.95
1065.2,555.5,153.9,624.35,976.05
1071.45,584.95,152.05,614.1,987.15
1051.75,579.95,148.75,643.8,980.5
1042.25,584.6,144.5,617.75,997.6
1053.35,584.4,144.85,621.85,977.1
1047.0,589.05,148.45,625.7,952.75
1044.25,600.15,149.65,618.2,956.55
1065.5,601.9,150.45,625.9,962.95
1132.4,593.05,151.9,615.4,961.95
1110.75,599.95,152.65,620.1,960.85
1102.5,599.85,150.15,623.1,969.5
1112.05,607.4,153.9,643.25,970.0
1119.1,612.0,152.4,592.9,981.8
1107.05,609.3,158.9,520.05,964.5
1109.0,597.0,157.85,512.25,959.35
1131.1,591.05,157.95,510.1,958.1
1116.6,590.65,155.95,510.75,968.95
1117.65,588.0,152.9,499.4,968.1
1086.5,575.5,150.5,483.95,985.7
1099.7,573.7,152.9,479.75,973.1
1071.75,578.5,148.25,464.4,956.05
1061.9,575.8,148.8,438.2,920.0
1069.0,559.9,153.4,445.2,931.0
1067.55,553.75,151.5,439.3,931.15
1045.25,533.05,151.4,417.0,936.5
1007.65,520.45,144.5,400.45,939.95
1013.95,524.0,148.4,420.0,915.25
998.45,532.4,145.2,421.1,914.2
